Membership No	Year	Bundle Name	On Trial	Trial Expiration Date	Amount
1050210	2016	BLOOD-ONLY	N		1100
1050966	2013	BLOOD-ARCHIVE-ONLY	N		750
1050966	2014	BLOOD-ARCHIVE-ONLY	N		750
1050966	2015	BLOOD-ARCHIVE-ONLY	N		750
1050966	2016	BLOOD-ARCHIVE-ONLY	N		750
1051556	2013	ASH-ALL	N		1500
1051556	2014	ASH-ALL	N		1500
1051556	2015	ASH-ALL	N		1500
1051556	2016	ASH-ALL	N		1500
1050801	2013	BLOOD-ARCHIVE-ONLY	N		750
1050801	2014	BLOOD-ARCHIVE-ONLY	N		750
1050801	2015	BLOOD-ARCHIVE-ONLY	N		750
1050801	2016	BLOOD-ARCHIVE-ONLY	N		750
1051587	2013	ASH-ALL	N		1500
1051587	2014	ASH-ALL	N		1500
1051587	2015	ASH-ALL	N		1500
1051587	2016	ASH-ALL	N		1500
1050205	2013	ASH-ALL	N		1500
1050205	2014	ASH-ALL	N		1500
1050205	2015	ASH-ALL	N		1500
1050205	2016	ASH-ALL	N		1500
1050080	2013	BLOOD-ARCHIVE-ONLY	N		750
1050080	2014	BLOOD-ARCHIVE-ONLY	N		750
1050080	2015	BLOOD-ARCHIVE-ONLY	N		750
1050080	2016	BLOOD-ARCHIVE-ONLY	N		750
1050094	2013	BLOOD-ONLY	N		1100
1050094	2014	BLOOD-ONLY	N		1100
1050094	2015	BLOOD-ONLY	N		1100
1050094	2016	BLOOD-ONLY	N		1100
1052920	2013	BLOOD-ONLY	N		1100
1052920	2014	BLOOD-ONLY	N		1100
1052920	2015	BLOOD-ONLY	N		1100
1052920	2016	BLOOD-ONLY	N		1100
1051523	2013	ASH-ALL	N		1500
1051523	2014	ASH-ALL	N		1500
1051523	2015	ASH-ALL	N		1500
1051523	2016	ASH-ALL	N		1500
1050479	2013	ASH-ALL	N		1500
1050479	2014	ASH-ALL	N		1500
1050479	2015	ASH-ALL	N		1500
1050479	2016	ASH-ALL	N		1500
1051564	2013	BLOOD-ARCHIVE-ONLY	N		750
1051564	2014	BLOOD-ARCHIVE-ONLY	N		750
1051564	2015	BLOOD-ARCHIVE-ONLY	N		750
1051564	2016	BLOOD-ARCHIVE-ONLY	N		750
1049999	2013	BLOOD-ARCHIVE-ONLY	N		750
1049999	2014	BLOOD-ARCHIVE-ONLY	N		750
1049999	2015	BLOOD-ARCHIVE-ONLY	N		750
1049999	2016	BLOOD-ARCHIVE-ONLY	N		750
1047715	2013	BLOOD-ARCHIVE-ONLY	N		750
1047715	2014	BLOOD-ARCHIVE-ONLY	N		750
1047715	2015	BLOOD-ARCHIVE-ONLY	N		750
1047715	2016	BLOOD-ARCHIVE-ONLY	N		750
1047639	2013	BLOOD-ARCHIVE-ONLY	N		750
1047639	2014	BLOOD-ARCHIVE-ONLY	N		750
1047639	2015	BLOOD-ARCHIVE-ONLY	N		750
1047639	2016	BLOOD-ARCHIVE-ONLY	N		750
1049830	2013	ASH-ALL	N		1500
1049830	2014	ASH-ALL	N		1500
1049830	2015	ASH-ALL	N		1500
1049830	2016	ASH-ALL	N		1500
1047546	2013	ASH-ALL	N		1500
1047546	2014	ASH-ALL	N		1500
1047546	2015	ASH-ALL	N		1500
1047546	2016	ASH-ALL	N		1500
1051443	2013	BLOOD-ONLY	N		1100
1051443	2014	BLOOD-ONLY	N		1100
1051443	2015	BLOOD-ONLY	N		1100
1051443	2016	BLOOD-ONLY	N		1100
